Chapter,Number,Source,Value,Media,A,B,C,D,CorrectAnswer,Explanation
Objective-2,1,CH2_SEIDL,"Ben is reviewing configuration management documentation for his organization and finds the following diagram in his company’s document repository. What key information is missing from the diagram that a security professional would need to build firewall rules based on the diagram? Client workstations Firewall Ports 139, 445 Server Ports 139, 445 192.168.10/24 10.1.10.111",,A. The subnet mask , B. The service name , C. The protocol the traffic uses , D. The API key,C,"The diagram shows services and ports, but it does not list the protocol. Ben should ask if these are TCP- or UDP-based services, since an incorrect guess would result in a nonfunctional service, and opening up unnecessary protocols may inadvertently create exposures or risks. The subnet mask is shown where multiple systems in a network on the client side require it, the service name isn’t necessary for a firewall rule, and API keys should not be stored in documents like this."
Objective-2,2,CH2_SEIDL,You are responsible for network security at an e-commerce company. You want to ensure that you are using best practices for the e-commerce website your company hosts. What standard would be the best for you to review?,,A. OWASP  , B. NERC  , C. Trusted Foundry  , D. ISA/IEC,A,"The correct answer is the Open Web Application Security Project (OWASP). It is the de facto standard for web application security.  The North American Electric Reliability Corporation (NERC) is concerned with electrical power plant security, Trusted Foundry is a term used to describe a secure supply chain for computer ICs, and ISA/IEC standards are for securing industrial automation and control systems (IACSs)."
Objective-2,3,CH2_SEIDL,"Cheryl is responsible for cybersecurity at a mid-sized insurance company. She has decided to use a different vendor for network antimalware than she uses for host antimalware. Is this a recommended action, and why or why not?",,A. This is not recommended; you should use a single vendor for a particular security control. , B. This is recommended; this is described as vendor diversity. , C. This is not recommended; this is described as vendor forking. , D. It is neutral. This does not improve or detract from security.,B,"Vendor diversity gives two security benefits. The first is that there is no single point of failure should one vendor cease operations. The second benefit is that each vendor has a specific methodology and algorithms used for detecting malware. If you use the same vendor at all points where you need malware detection, any flaw or weakness in that vendor’s methodology will persist across the network. Using a single vendor means that any weakness in that vendor’s methodology or technology could impact the entire system or network.  Vendor forking is not a term in the industry, and this is not a neutral act; vendor diversity improves security."
Objective-2,4,CH2_SEIDL,"Scott wants to back up the contents of a network-attached storage (NAS) device used in a critical department in his company. He is concerned about how long it would take to restore the device if a significant failure happened, and he is less concerned about the ability to recover in the event of a natural disaster. Given these requirements, what type of backup should he use for the NAS?",,A. A tape-based backup with daily full backups , B. A second NAS device with a full copy of the primary NAS , C. A tape-based backup with nightly incremental backups , D. A cloud-based backup service that uses high durability near-line storage,B,"In this scenario, the best fit to Scott’s needs is a second network attached storage (NAS) device with a full copy of the primary NAS. In a failure scenario, the secondary NAS can simply take the place of the primary NAS while individual disks or even the whole NAS is replaced. Tape-based backups take longer to restore, regardless of whether they are full or incremental backups, although incremental backups can take more time in some cases since swapping tapes in order can add time to the restoration process. Finally, a cloud-based backup system would be useful if Scott was worried about a local disaster but would be slower than a local identical NAS, thus not meeting Scott’s primary requirement."
Objective-2,5,CH2_SEIDL,"Yasmine is responding to a full datacenter outage, and after referencing the documentation for the systems in the datacenter she brings the network back up, then focuses on the storage area network (SAN), followed by the database servers. Why does her organization list systems for her to bring back online in a particular series?",,A. The power supply for the building cannot handle all the devices starting at once.  , B. The organization wants to ensure that a second outage does not occur due to failed systems.  , C. The organization wants to ensure that systems are secure and have the resources they need by following a restoration order.  ," D. The fire suppression system may activate due to the sudden change in heat, causing significant damage to the systems. ",C,"Restoration order can be very important in a complex environment due to system dependencies. Restoration order can also ensure that the proper security controls are in place before systems are online. A datacenter should be able to handle systems coming online without failing if its power systems are properly designed. A second outage due to failed systems would mean that Yasmine has not determined why the outage has occurred, making restoration potentially dangerous or problematic. Finally, fire suppression systems should only activate for an actual fire or when fire precursors like smoke are detected, not for increased heat load."
Objective-2,6,CH2_SEIDL,Enrique is concerned about backup data being infected by malware. The company backs up key servers to digital storage on a backup server. Which of the following would be most effective in preventing the backup data being infected by malware?,,A. Place the backup server on a separate VLAN.  , B. Air-gap the backup server.  , C. Place the backup server on a different network segment.  , D. Use a honeynet.,B,"Air gapping refers to the server not being on a network. This means literally that there is “air” between the server and the network. This prevents malware from infecting the backup server. A separate VLAN or physical network segment can enhance security but is not as effective as air gapping. A honeynet is used to detect attacks against a network, but it doesn’t provide effective defense against malware in this scenario."
Objective-2,7,CH2_SEIDL,What type of attribute is a Windows picture password?,,A. Somewhere you are , B. Something you exhibit , C. Something you can do , D. Someone you know,C,"Windows picture passwords require you to click on specific locations on a picture. This is an example of a something-you-can-do factor. Geolocation or a network location are examples of somewhere you are, whereas something you exhibit is often a personality trait, and someone you know is exactly what it sounds like: someone who can identify you as an individual."
Objective-2,8,CH2_SEIDL,Which of the following is not a critical characteristic of a hash function?,,A. It converts variable-length input into a fixed-length output. , B. Multiple inputs should not hash to the same output. , C. It must be reversible. , D.It should be fast to compute.,C,"Hash functions convert variable-length inputs into fixed-length outputs while minimizing the changes of multiple inputs, resulting in the same output (collisions). They also need to be fast to compute. Hashes should not be reversible; they are a one-way function!"
Objective-2,9,CH2_SEIDL,Naomi wants to hire a third-party secure data destruction company. What process is most frequently used to ensure that third parties properly perform data destruction?,,A. Manual on-site inspection by federal inspectors , B. Contractual requirements and a csertification process , C. Requiring pictures of every destroyed document or device , D. All of the above,B,"The most common way to ensure that third-party secure destruction companies perform their tasks properly is to sign a contract with appropriate language and make sure that they certify the destruction of the materials they are asked to destroy. Manual on-site inspection by third parties is sometimes done as part of certification, but federal certification is not a common process. Requiring pictures of every destroyed document would create a new copy, thus making it a flawed process.  "
Objective-2,10,CH2_SEIDL,Olivia wants to ensure that the code executed as part of her application is secure from tampering and that the application itself cannot be tampered with. Which of the following solutions should she use and why?,,"A. Server-side execution and validation, because it prevents data and application tampering ", B. Client-side validation and server-side execution to ensure client data access , C. Server-side validation and client-side execution to prevent data tampering ," D. Client-side execution and validation, because it prevents data and application tampering",A,"Using both server-side execution and validation requires more resources but prevents client-side tampering with the application and data. For Olivia’s described needs, server-side execution and validation is the best option."
