Chapter,Number,Source,Value,Media,A,B,C,D,CorrectAnswer,Explanation
Objective-3,1,CH3_SEIDL,Adam is setting up a public key infrastructure (PKI) and knows that keeping the passphrases and encryption keys used to generate new keys is a critical part of how to ensure that the root certificate authority remains secure. Which of the following techniques is not a common solution to help prevent insider threats?,,A. Require a new passphrase every time the certificate is used. , B. Use a split knowledge process for the password or key. , C. Require dual control. , D. Implement separation of duties.,A,"Dual control, which requires two individuals to perform a function; split knowledge, which splits the passphrase or key between two or more people; and separation of duties, which ensures that a single individual does not control or oversee the entire process all help prevent insider threats when managing a PKI. Requiring a new passphrase when a certificate is used is not a reasonable solution and would require reissuing the certificate."
Objective-3,2,CH3_SEIDL,Naomi is designing her organization’s wireless network and wants to ensure that the design places access points in areas where they will provide optimum coverage. She also wants to plan for any sources of RF interference as part of her design. What should Naomi do first?,,A. Contact the FCC for a wireless map. , B. Conduct a site survey. , C. Disable all existing access points. , D. Conduct a port scan to find all existing access points.,B,"A site survey is the process of identifying where access points should be located for best coverage and identifying existing sources of RF interference, including preexisting wireless networks and other devices that may use the same radio frequency spectrum. By conducting a site survey, Naomi can guide the placement of her access points as well as create a channel design that will work best for her organization."
Objective-3,3,CH3_SEIDL,Chris is preparing to implement an 802.1X-enabled wireless infrastructure. He knows that he wants to use an Extensible Authentication Protocol (EAP)-based protocol that does not require client-side certificates. Which of the following options should he choose?,,A. EAP-MD5 , B. PEAP , C. LEAP , D. EAP-TLS,B,"The option that best meets the needs described above is PEAP, the Protected Extensible Authentication Protocol. PEAP relies on server-side certificates and relies on tunneling to ensure communications security. EAP-MD5 is not recommended for wireless networks and does not support mutual authentication of the wireless client and network. LEAP, the Lightweight Extensible Authentication Protocol, uses WEP keys for its encryption and is not recommended due to security issues. Finally, EAP-TLS, or EAP Transport Layer Security, requires certificates on both the client and server, consuming more management overhead."
Objective-3,4,CH3_SEIDL,What term is commonly used to describe lateral traffic movement within a network?,,A. Side-stepping , B. Slider traffic , C. East-west traffic , D. Peer interconnect,C,"East-west traffic is traffic sent laterally inside a network. Some networks focus security tools at the edges or places where networks interconnect, leaving internal, or east-west, traffic open. In zero-trust environments, internal traffic is not presumed to be trustworthy, reducing the risks of this type of lateral communication. Side-stepping, slider traffic, and peer interconnect were all made up for this question, although peer interconnect may sound similar to peer-to-peer traffic, which may be lateral in many networks."
Objective-3,5,CH3_SEIDL,Charlene wants to use the security features built into HTTP headers. Which of the following is not an HTTP header security option?,,A. Requiring transport security , B. Preventing cross-site scripting , C. Disabling SQL injection , D. Helping prevent MIME sniffing,C,"Although preventing Multipurpose Internet Mail Extensions (MIME) sniffing may sound humorous, MIME sniffing can be used in cross-site scripting attacks, and the X-ContentType-Options header helps prevent MIME sniffing. HTTP security-oriented headers can also set X-Frame options, turn on cross-site scripting protection, set content security policies, and require transport security. There isn’t a “Disable SQL injection” header, however!"
Objective-3,6,CH3_SEIDL,Charlene wants to provision her organization’s standard set of marketing information to mobile devices throughout her organization. What MDM feature is best suited to this task?,,A. Application management , B. Remote wipe , C. Content management , D. Push notifications,C,"Mobile device management (MDM) suites often provide the ability to manage content on devices as well as applications. Using content management tools can allow Charlene to provision files, documents, and media to the devices that staff members in her organization are issued. Application management would be useful for apps. Remote wipe can remove data and applications from the device if it is lost or stolen, or an employee leaves the organization.  Push notifications are useful when information needs to be provided to the device user."
Objective-3,7,CH3_SEIDL,Denny wants to deploy antivirus for his organization and wants to ensure that it will stop the most malware. What deployment model should Denny select?,,"A. Install antivirus from the same vendor on individual PCs and servers to best balance visibility, support, and security. ", B. Install antivirus from more than one vendor on all PCs and servers to maximize coverage. , C. Install antivirus from one vendor on PCs and from another vendor on the server to provide a greater chance of catching malware. , D. Install antivirus only on workstations to avoid potential issues with server performance.,C,"In this scenario, Denny specifically needs to ensure that he stops the most malware. In situations like this, vendor diversity is the best way to detect more malware, and installing a different vendor’s antivirus (AV) package on servers like email servers and then installing a managed package for PCs will result in the most detections in almost all cases. Installing more than one AV package on the same system is rarely recommended, since this often causes performance issues and conflicts between the packages—in fact, at times AV packages have been known to detect other AV packages because of the deep hooks they place into the operating system to detect malicious activity!"
Objective-3,8,CH3_SEIDL,"When Amanda visits her local coffee shop, she can connect to the open wireless without providing a password or logging in, but she is immediately redirected to a website that asks for her email address. Once she provides it, she is able to browse the Internet normally. What type of technology has Amanda encountered?",,A. A preshared key , B. A captive portal , C. Port security , D. A Wi-Fi protected access,B,"Amanda has encountered a captive portal. Captive portals redirect all traffic to the portal page, either to allow the portal to collect information or to display the page itself. Once users have completed the requirements that the portal puts in place, they are permitted to browse the Internet. This may be accomplished by assigning a new IP address or by allowing the connected IP address to have access to the Internet using a firewall rule or other similar method. Preshared keys are used in wireless networks for authentication. Port security is used for wired networks, and WPA stands for Wi-Fi Protected Access, as in WPA, WPA-2, and WPA-3."
Objective-3,9,CH3_SEIDL,Charles has been asked to implement DNSSEC for his organization. Which of the following does it provide?,,A. Confidentiality , B. Integrity , C. Availability , D. All of the above,B,"Domain Name System Security Extensions, or DNSSEC, provides the ability to validate DNS data and denial of existence, and provides data integrity for DNS. It does not provide confidentiality or availability controls. If Charles needs to provide those, he will have to implement additional controls."
Objective-3,10,CH3_SEIDL,Sarah has implemented an OpenID-based authentication system that relies on existing Google accounts. What role does Google play in a federated environment like this?,,A. An RP , B. An IdP , C. An SP , D. An RA,B,"Google is acting as an identity provider, or IdP. An IdP creates and manages identities for federations. An RP is a relying party, which relies on an identity provider. An SP is a service provider, and an RA is a registration authority involved in the process for providing cryptographic certificates."
Objective-3,11,CH3_SEIDL,Ian needs to connect to a system via an encrypted channel so that he can use a command-line shell. What protocol should he use?,,A. Telnet , B. HTTPS , C. SSH , D. TLS,C,"SSH, or Secure Shell, is a secure protocol used to connect to command-line shells. SSH can also be used to tunnel other protocols, making it a useful and frequently used tool for system administrators, security professionals, and attackers. Using HTTPS or Transport Layer Security (TLS) for a secure command line is rare, and Telnet is an insecure protocol."
Objective-3,12,CH3_SEIDL,"Casey is considering implementing password key devices for her organization. She wants to use a broadly adopted open standard for authentication and needs her keys to support that.  Which of the following standards should she look for her keys to implement, in addition to being able to connect via USB, Bluetooth, and NFC?",,A. SAML , B. FIDO , C. ARF , D. OpenID,B,"Of the options provided, only FIDO U2F, an open standard provided by the Fast IDentity Online Alliance, is a standard for security keys. Other standards that you may encounter include OTP (One Time Password), SmartCard, OATH-HOTP, and OpenPGP. Of note, OATH, the Initiative for Open Authentiation provides standards both HMAC-based one time password (HOTP) and TOTP, or time-based one time passwords. SAML (Security Assertion Markup Language) and OpenID are both used in authentication processes but not for security keys. ARF was made up for this question."
Objective-3,13,CH3_SEIDL,"Nadia is concerned about the content of her emails to her friend Danielle being read as they move between servers. What technology can she use to encrypt her emails, and whose key should she use to encrypt the message?",,"A. S/MIME, her private key "," B. Secure POP3, her public key "," C. S/MIME, Danielle’s public key "," D. Secure POP3, Danielle’s private key",C,"Nadia should use Secure/Multipurpose Internet Mail Extensions (S/MIME), which supports asymmetric encryption and should then use Danielle’s public key to encrypt the email so that only Danielle can decrypt the messages and read them. Secure POP3 would protect messages while they’re being downloaded but would not protect the content of the messages between servers."
