Chapter,Number,Source,Value,Media,A,B,C,D,CorrectAnswer,Explanation
Objective-1,1,CH1_SEIDL,"Ahmed is a sales manager with a major insurance company. He has received an email that is encouraging him to click on a link and fill out a survey. He is suspicious of the email, but it does mention a major insurance association, and that makes him think it might be legitimate.  Which of the following best describes this attack?",, A. Phishing, B. Social engineering, C. Spear phishing, D. Trojan horse,C,"The correct answer is spear phishing. Spear phishing is targeted to a specific group, in this case insurance professionals. Although this is a form of phishing, the more specific answer is the one you will need to choose on questions like this. Phishing uses social engineering techniques to succeed but is once again a broader answer than spear phishing and thus is not the correct choice. Finally, a Trojan horse pretends to be a legitimate or desirable program or file, which this scenario doesn’t describe.  B. A logic bomb is malware that performs its malicious activity when some condition is met.  A worm is malware that self-propagates. A Trojan horse is malware attached to a legitimate program, and a rootkit is malware that gets root or administrative privileges."
Objective-1,2,CH1_SEIDL,You are a security administrator for a medium-sized bank. You have discovered a piece of software on your bankâ€™s database server that is not supposed to be there. It appears that the software will begin deleting database files if a specific employee is terminated. What best describes this?,, A. Worm, B. Logic bomb, C. Trojan horse, D. Rootkit,C,"This is a very basic form of SQL injection. Cross-site scripting would have JavaScript in the text field and would be designed to impact other sites from a user’s session. Cross-site request forgery would not involve any text being entered in the web page, and ARP poisoning is altering the ARP table in a switch; it is not related to website hacking."
Objective-1,3,CH1_SEIDL,"You are responsible for incident response at Acme Bank. The Acme Bank website has been attacked. The attacker used the login screen, but rather than enter login credentials, they entered some odd text: ' or '1' = '1. What is the best description for this attack?",, A. Cross-site scripting, B. Cross-site request forgery, C. SQL injection, D. ARP poisoning,B,"This describes a jamming attack, where legitimate traffic is interfered with by another signal. Jamming can be intentional or unintentional and may be intermittent. IV attacks are obscure cryptographic attacks on stream ciphers. Wi-Fi protected setup (WPS) uses a PIN to connect to the wireless access point (WAP). The WPS attack attempts to intercept that PIN in transmission, connect to the WAP, and then steal the WPA2 password. A botnet is a group of machines that are being used, without their consent, as part of an attack."
Objective-1,4,CH1_SEIDL,Users are complaining that they cannot connect to the wireless network. You discover that the WAPs are being subjected to a wireless attack designed to block their Wi-Fi signals.  Which of the following is the best label for this attack?,, A. IV attack, B. Jamming, C. WPS attack, D. Botnet,B,"The best option listed to defend against the attacks mentioned is input validation.  Encrypting the web traffic will not have any effect on these two attacks. A web application firewall (WAF) might mitigate these attacks, but it would be secondary to input validation, and an intrusion detection system (IDS) will simply detect the attack—it won’t stop it."
Objective-1,5,CH1_SEIDL,Frank is deeply concerned about attacks to his companyâ€™s e-commerce server. He is particularly worried about cross-site scripting and SQL injection. Which of the following would best defend against these two specific attacks?,, A. Encrypted web traffic, B. Input validation, C. A firewall, D. An IDS,C,"If users have been connecting but the AP does not show them connecting, then they have been connecting to a rogue access point. This could be the cause of an architecture and design weakness such as a network without segmentation and control of devices connecting to the network. Session hijacking involves taking over an already authenticated session. Most session hijacking attacks involve impersonation. The attacker attempts to gain access to another user’s session by posing as that user. Clickjacking involves causing visitors to a website to click on the wrong item. Finally, bluejacking is a Bluetooth attack."
Objective-1,6,CH1_SEIDL,"You are responsible for network security at Acme Company. Users have been reporting that personal data is being stolen when using the wireless network. They all insist they only connect to the corporate wireless access point (AP). However, logs for the AP show that these users have not connected to it. Which of the following could best explain this situation?",, A. Session hijacking, B. Clickjacking, C. Rogue access point, D. Bluejacking,C,"Cross-site scripting involves entering a script into text areas that other users will view.  SQL injection is not about entering scripts, but rather SQL commands. Clickjacking is about tricking users into clicking on the wrong thing. Bluejacking is a Bluetooth attack."
Objective-1,7,CH1_SEIDL,What type of attack depends on the attacker entering JavaScript into a text area that is intended for users to enter text that will be viewed by other users?,, A. SQL injection, B. Clickjacking, C. Cross-site scripting, D. Bluejacking,D,"Retaining the actual password is not a best practice, and thus encrypting password plain text is not a common technique to make passwords harder to crack. Since the application would need the cryptographic key to read the passwords, anybody who had access to that key could decrypt the passwords. Using a salt, a pepper, and a cryptographic hashing algorithm designed for passwords are all common best practices to prevent offline bruteforce attacks.  A. Although this is one of the more dated items on the Security+ exam outline, you need to know that the term for Internet messaging spam messages is SPIM. The rest of the answers were made up, and though this shows up in the exam outline, the rest of the world has moved on from using this term."
Objective-1,8,CH1_SEIDL,Rick wants to make offline brute-force attacks against his password file very difficult for attackers. Which of the following is not a common technique to make passwords harder to crack?,, A. Use of a salt, B. Use of a pepper, C. Use of a purpose-built password hashing algorithm, D. Encrypting password plain text using symmetric encryption,B,"A segmentation fault will typically stop the program from running. This type of issue is why a NULL pointer or other pointer de-referencing error is considered a potential security issue, as a denial-of-service condition impacts the availability of the service. This type of error is unlikely to cause a data breach or allow privilege escalation, and permissions creep occurs as individuals accrue more permissions over time in a single organization as their permissions are not cleaned up when they switch positions or roles."
Objective-1,9,CH1_SEIDL,What term is used to describe spam over Internet messaging services?,, A. SPIM, B. SMSPAM, C. IMSPAM, D. TwoFaceTiming,C,"The machines in her network are being used as bots, and the users are not aware that they are part of a distributed denial-of-service (DDoS) attack. Social engineering is when someone tries to manipulate you into giving information. Techniques involved in social engineering attacks include consensus, scarcity, and familiarity. There is a slight chance that all computers could have a backdoor, but that is very unlikely, and attackers normally don’t manually log into each machine to do a DDoS—it would be automated, as through a bot."
Objective-1,10,CH1_SEIDL,Susan is analyzing the source code for an application and discovers a pointer de-reference and returns NULL. This causes the program to attempt to read from the NULL pointer and results in a segmentation fault. What impact could this have for the application?,, A. A data breach, B. A denial-of-service condition, C. Permissions creep, D. Privilege escalation,C,"There are many indicators of compromise (IoCs), including unusual outbound network traffic, geographical irregularities like logins from a country where the person normally does not work, or increases in database read volumes beyond normal traffic patterns. Predictive analysis is analysis work done using datasets to attempt to determine trends and likely attack vectors so that analysts can focus their efforts where they will be most needed and effective.  OSINT is open source intelligence, and threat maps are often real-time or near real-time visualizations of where threats are coming from and where they are headed to.  Use the following scenario for questions 13–15. Chris has recently deployed a security information and event management (SIEM) device and wants to use it effectively in his organization. He knows that SIEM systems have a broad range of capabilities and wants to use the features to solve problems that he knows his organization faces. In each of the following questions, identify the most appropriate SIEM capability or technique to accomplish what Chris needs to do for his organization."
Objective-1,11,CH1_SEIDL,"Teresa is the security manager for a mid-sized insurance company. She receives a call from law enforcement, telling her that some computers on her network participated in a massive denial-of-service (DoS) attack. Teresa is certain that none of the employees at her company would be involved in a cybercrime. What would best explain this scenario?",, A. It is a result of social engineering., B. The machines all have backdoors., C. The machines are bots., D. The machines are infected with crypto-viruses.,B,"When troubleshooting TCP handshakes, the most valuable tool in many cases is packet capture. If Chris sees a series of SYN packets without the handshake being completed, he can be reasonably sure the firewall is blocking traffic. Reviewing reports or logs may be useful for this as well but won’t show the TCP handshake issue mentioned in the problem, and sentiment analysis is focused on how individuals and groups are responding, not on a technical problem."
Objective-1,12,CH1_SEIDL,"Unusual outbound network traffic, geographical irregularities, and increases in database read volumes are all examples of what key element of threat intelligence?",, A. Predictive analysis, B. OSINT, C. Indicators of compromise, D. Threat maps,D,"User behavior analysis is a key capability when attempting to detect potential insider threats. Chris can use his SIEM’s behavioral analysis capabilities to detect improper or illicit use of rights and privileges as well as abnormal behavior on the part of his users. Sentiment analysis helps analyze feelings, and log aggregation and security monitoring provide ways to gain insight into the overall security posture and status of the organization."
Objective-1,13,CH1_SEIDL,Chris needs visibility into connection attempts through a firewall because he believes that a TCP handshake is not properly occurring. What security information and event management (SIEM) capability is best suited to troubleshooting this issue?,, A. Reviewing reports, B. Packet capture, C. Sentiment analysis, D. Log collection and analysis,A,"Using log aggregation to pull together logs from multiple sources, and performing collection and initial analysis on log collectors can help centralize and handle large log volumes. Capturing packets is useful for network traffic analysis to identify issues or security concerns. Security monitoring is an overall function for security information and event management (SIEM) and doesn’t specifically help with this need. Both sentiment analysis and user behavior analysis are aimed at users and groups rather than at how data is collected and managed."
Objective-1,14,CH1_SEIDL,Chris wants to detect a potential insider threat using his security information and event management (SIEM) system. What capability best matches his needs?,, A. Sentiment analysis, B. Log aggregation, C. Security monitoring, D. User behavior analysis,B,"White teams act as judges and observers during cybersecurity exercises. Blue teams act as defenders, red teams act as attackers, and purple teams are composed of both blue and red team members to combine attack and defense knowledge to improve organizational security."
Objective-1,15,CH1_SEIDL,Chris has hundreds of systems spread across multiple locations and wants to better handle the amount of data that they create. What two technologies can help with this?,, A. Log aggregation and log collectors, B. Packet capture and log aggregation, C. Security monitoring and log collectors, D. Sentiment analysis and user behavior analysis,A,The simplest way to ensure that APIs are only used by legitimate users is to require the use of authentication. API keys are one of the most frequently used methods for this. If an
Objective-1,16,CH1_SEIDL,What type of security team establishes the rules of engagement for a cybersecurity exercise?,, A. Blue team, B. White team, C. Purple team, D. Red team,A," key is lost or stolen, the key can be invalidated and reissued, and since API keys can be matched to usage, Cynthia’s company can also bill customers based on their usage patterns if they want to. A firewall or IP restrictions may be able to help, but they can be fragile; customer IP addresses may change. An intrusion prevention system (IPS) can detect and prevent attacks, but legitimate usage would be hard to tell from those who are not customers using an IPS."
Objective-1,17,CH1_SEIDL,Cynthia is concerned about attacks against an application programming interface (API) that her company provides for its customers. What should she recommend to ensure that the API is only used by customers who have paid for the service?,, A. Require authentication., B. Install and configure a firewall., C. Filter by IP address., D. Install and use an IPS.,B,"Buffer overflow attacks cram more data into a field or buffer than they can accept, overflowing into other memory locations and either crashing the system or application, or potentially allowing code to be inserted into executable locations. Bluesnarfing and bluejacking are both Bluetooth attacks. Cross-site scripting attacks allow attackers to inject scripts into pages viewed by other users."
Objective-1,18,CH1_SEIDL,What type of attack is based on sending more data to a target variable than the data can actually hold?,, A. Bluesnarfing, B. Buffer overflow, C. Bluejacking, D. Cross-site scripting,A,"Attackers are attempting to influence Gurvinder with a combination of scarcity and urgency. Thus, for this question you should answer scarcity since urgency is not listed. In many social engineering principle questions, more than one of the principles may be in play, and you will need to answer with the principle that is correct or more correct for the question. In this case, there is no intimidation or claim to authority, and consensus would require some form of validation from others."
Objective-1,19,CH1_SEIDL,An email arrives telling Gurvinder that there is a limited time to act to get a software package for free and that the first 50 downloads will not have to be paid for. What social engineering principle is being used against him?,, A. Scarcity, B. Intimidation, C. Authority, D. Consensus,A,"Vulnerability scans use automated tools to look for known vulnerabilities in systems and applications and then provide reports to assist in remediation activities. Penetration tests seek to actually exploit the vulnerabilities and break into systems. Security audits usually focus on checking policies, incident reports, and other documents. Security test is a generic term for any sort of test."
Objective-1,20,CH1_SEIDL,You have been asked to test your company network for security issues. The specific test you are conducting involves primarily using automated and semiautomated tools to look for known vulnerabilities with the various systems on your network. Which of the following best describes this type of test?,, A. Vulnerability scan, B. Penetration test, C. Security audit, D. Security test,C,"Username complexity has no impact in credential harvesting. Multifactor authentication can help prevent successful credential harvesting by ensuring that even capture of username and password is not enough to compromise the account. Awareness training helps to reduce the likelihood of credential exposure, and limiting or preventing use of third-party web scripts makes websites less likely to have credentials stolen through the use of those scripts, plug-ins, or modules."
Objective-1,21,CH1_SEIDL,Susan wants to reduce the likelihood of successful credential harvesting attacks via her organizationâ€™s commercial websites. Which of the following is not a common prevention method aimed at stopping credential harvesting?,, A. Use of multifactor authentication, B. User awareness training, C. Use of complex usernames, D. Limiting or preventing use of third-party web scripts and plugins,C,Greg can clone a legitimate Media Access Control (MAC) address if he can identify one on the network. This can be as easy as checking for a MAC label on some devices or by capturing traffic on the network if he can physically access it.
Objective-1,22,CH1_SEIDL,Greg wants to gain admission to a network which is protected by a network access control (NAC) system that recognized the hardware address of systems. How can he bypass this protection?,, A. Spoof a legitimate IP address., B. Conduct a denial-of-service attack against the NAC system., C. Use MAC cloning to clone a legitimate MAC address., D. None of the above,A,"From the description it appears that they are not connecting to the real web server but rather a fake server. That indicates typo squatting: have a URL that is named very similarly to a real site so that when users mistype the real site’s URL they will go to the fake site.  Options B, C, and D are all incorrect. These are all methods of attacking a website, but in this case, the actual website was not attacked. Instead, some users are visiting a fake site."
Objective-1,23,CH1_SEIDL,"Coleen is the web security administrator for an online auction website. A small number of users are complaining that when they visit the website it does not appear to be the correct site. Coleen checks and she can visit the site without any problem, even from computers outside the network. She also checks the web server log and there is no record of those users ever connecting. Which of the following might best explain this?",, A. Typo squatting, B. SQL injection, C. Cross-site scripting, D. Cross-site request forgery,C,"Domain hijacking, or domain theft, occurs when the registration or other information for the domain is changed without the original registrant’s permission. This may occur because of a compromised account or due to a breach of the domain registrar’s security. A common issue is a lapsed domain being purchased by a third party, and this can look like a hijacked domain, but it is a legitimate occurrence if the domain is not renewed! DNS hijacking inserts false information into a DNS server, on-path (man-in-the-middle) attacks capture or modify traffic by causing the traffic to pass through a compromised midpoint, and zero-day attacks are attacks that use an unknown until used vulnerability."
Objective-1,24,CH1_SEIDL,"The organization that Mike works in finds that one of their domains is directing traffic to a competitorâ€™s website. When Mike checks, the domain information has been changed, including the contact and other administrative details for the domain. If the domain had not expired, what has most likely occurred?",, A. DNS hijacking, B. An on-path attack, C. Domain hijacking, D. A zero-day attack,D,"The term for low-skilled hackers is script kiddie. Script kiddies typically use prebuilt tools and do not have the expertise to make or modify their own tools. Nothing indicates this is being done for ideological reasons, and thus that a hacktivist is involved. Although “Amateur” may be an appropriate description, the correct term is script kiddie. Finally, nothing in this scenario indicates an insider threat."
Objective-1,25,CH1_SEIDL,"Mahmoud is responsible for managing security at a large university. He has just performed a threat analysis for the network, and based on past incidents and studies of similar networks, he has determined that the most prevalent threat to his network is low-skilled attackers who wish to breach the system, simply to prove they can or for some low-level crime, such as changing a grade. Which term best describes this type of attacker?",, A. Hacktivist, B. Amateur, C. Insider, D. Script kiddie,B,"Phishing is intended to acquire data, most often credentials or other information that will be useful to the attacker. Spam is a broader term for unwanted email, although the term is often generally used to describe unwanted communications. Spear phishing targets specific individuals, whereas whaling targets important people in an organization. Smishing is sent via SMS (text message). Malware can be sent in any of these instances, but there is not a specific related term that means “spam with malware in it.”"
Objective-1,26,CH1_SEIDL,How is phishing different from general spam?,, A. It is sent only to specific targeted individuals., B. It is intended to acquire credentials or other data., C. It is sent via SMS., D. It includes malware in the message.,B,"A collection of computers that are compromised, then centrally controlled to perform actions like denial-of-service attacks, data collection, and other malicious activities is called a botnet. Zombienets, Nullnets, and Attacknets are not commonly used terms to describe botnets."
Objective-1,27,CH1_SEIDL,Which of the following best describes a collection of computers that have been compromised and are being controlled from one central point?,, A. Zombienet, B. Botnet, C. Nullnet, D. Attacknet,B,"Systems and software that no longer have vendor support can be a significant security risk, and ensuring that a vendor will continue to exist and provide support is an important part of many procurement processes. Selah’s questions are intended to assess the longevity and viability of the company and whether buying from them will result in her organization having a usable product for the long term."
